GO_ID	Gene_ID
GO:0000002	404292
GO:0000002	423688
GO:0000002	424817
GO:0000002	425626
GO:0000003	373887
GO:0000003	373954
GO:0000003	373955
GO:0000003	374014
GO:0000003	374054
GO:0000003	374115
GO:0000003	374125
GO:0000003	374148
GO:0000003	374197
GO:0000003	374202
GO:0000003	374224
GO:0000003	374246
GO:0000003	378781
GO:0000003	378783
GO:0000003	378906
GO:0000003	395098
GO:0000003	395135
GO:0000003	395245
GO:0000003	395246
GO:0000003	395277
GO:0000003	395327
GO:0000003	395344
GO:0000003	395382
GO:0000003	395517
GO:0000003	395555
GO:0000003	395561
GO:0000003	395570
GO:0000003	395602
GO:0000003	395679
GO:0000003	395776
GO:0000003	395801
GO:0000003	395815
GO:0000003	395863
GO:0000003	395962
GO:0000003	395966
GO:0000003	396010
GO:0000003	396028
GO:0000003	396086
GO:0000003	396126
GO:0000003	396147
GO:0000003	396165
GO:0000003	396166
GO:0000003	396185
GO:0000003	396242
GO:0000003	396277
GO:0000003	396282
GO:0000003	396323
GO:0000003	396324
GO:0000003	396361
GO:0000003	396381
GO:0000003	396457
GO:0000003	396458
GO:0000003	396484
GO:0000003	404271
GO:0000003	404532
GO:0000003	404537
GO:0000003	414854
GO:0000003	415577
GO:0000003	415620
GO:0000003	416187
GO:0000003	416595
GO:0000003	416804
GO:0000003	417105
GO:0000003	417213
GO:0000003	417229
GO:0000003	417563
GO:0000003	417642
GO:0000003	418090
GO:0000003	418182
GO:0000003	419106
GO:0000003	419329
GO:0000003	419554
GO:0000003	420027
GO:0000003	420105
GO:0000003	420427
GO:0000003	420798
GO:0000003	421140
GO:0000003	421236
GO:0000003	421291
GO:0000003	421314
GO:0000003	421352
GO:0000003	422684
GO:0000003	423176
GO:0000003	424243
GO:0000003	424912
GO:0000003	425053
GO:0000003	425056
GO:0000003	426117
GO:0000003	427918
GO:0000003	428537
GO:0000003	428767
GO:0000003	429484
GO:0000003	430492
GO:0000003	431669
GO:0000003	769693
GO:0000003	770134
GO:0000003	771417
GO:0000003	100857997
GO:0000003	100873157
GO:0000003	101751277
GO:0000012	395173
GO:0000015	395689
GO:0000015	396016
GO:0000015	396017
GO:0000018	374260
GO:0000018	395122
GO:0000018	396147
GO:0000018	396191
GO:0000018	396249
GO:0000018	415577
GO:0000018	416098
GO:0000018	416628
GO:0000018	416687
GO:0000018	417948
GO:0000018	417954
GO:0000018	418092
GO:0000018	419493
GO:0000018	421291
GO:0000018	424316
GO:0000018	424912
GO:0000018	427882
GO:0000018	427892
GO:0000018	427896
GO:0000018	693250
GO:0000018	100858354
GO:0000019	415577
GO:0000027	395269
GO:0000027	395835
GO:0000027	396411
GO:0000028	374084
GO:0000028	395181
GO:0000028	396448
GO:0000028	422122
GO:0000038	415539
GO:0000038	428772
GO:0000041	395811
GO:0000041	395970
GO:0000041	396191
GO:0000041	396212
GO:0000041	396241
GO:0000041	414830
GO:0000041	421480
GO:0000041	423183
GO:0000041	423261
GO:0000041	424464
GO:0000041	426887
GO:0000041	427173
GO:0000045	373977
GO:0000045	404750
GO:0000045	415961
GO:0000045	416481
GO:0000045	417339
GO:0000045	419150
GO:0000045	419268
GO:0000045	420018
GO:0000045	421135
GO:0000045	422441
GO:0000045	423047
GO:0000045	424377
GO:0000045	769780
GO:0000045	772074
GO:0000049	373963
GO:0000049	378793
GO:0000049	419666
GO:0000049	420938
GO:0000049	421346
GO:0000049	423086
GO:0000049	424065
GO:0000049	425042
GO:0000049	425909
GO:0000049	427672
GO:0000049	770817
GO:0000049	100859604
GO:0000050	395735
GO:0000050	417185
GO:0000052	395735
GO:0000053	417185
GO:0000054	396193
GO:0000054	396203
GO:0000055	396193
GO:0000055	396203
GO:0000056	396193
GO:0000056	396203
GO:0000062	395263
GO:0000062	420488
GO:0000064	422730
GO:0000070	374074
GO:0000070	395134
GO:0000070	395135
GO:0000070	395858
GO:0000070	396193
GO:0000070	396270
GO:0000070	415544
GO:0000070	415745
GO:0000070	416842
GO:0000070	418910
GO:0000070	419150
GO:0000070	419535
GO:0000070	419968
GO:0000070	420668
GO:0000070	422787
GO:0000070	423213
GO:0000070	428673
GO:0000070	431608
GO:0000070	693254
GO:0000070	777014
GO:0000075	373954
GO:0000075	374246
GO:0000075	374260
GO:0000075	395134
GO:0000075	395376
GO:0000075	395499
GO:0000075	395555
GO:0000075	395570
GO:0000075	395815
GO:0000075	395966
GO:0000075	396341
GO:0000075	415548
GO:0000075	415559
GO:0000075	415577
GO:0000075	417019
GO:0000075	419493
GO:0000075	420668
GO:0000075	420798
GO:0000075	421291
GO:0000075	421373
GO:0000075	421417
GO:0000075	422608
GO:0000075	423688
GO:0000075	424873
GO:0000075	427918
GO:0000075	428246
GO:0000075	428269
GO:0000075	101752182
GO:0000076	415548
GO:0000076	423688
GO:0000077	374246
GO:0000077	374260
GO:0000077	395376
GO:0000077	395499
GO:0000077	395555
GO:0000077	395815
GO:0000077	396341
GO:0000077	415548
GO:0000077	415559
GO:0000077	415577
GO:0000077	417019
GO:0000077	419493
GO:0000077	421291
GO:0000077	421373
GO:0000077	421417
GO:0000077	422608
GO:0000077	424873
GO:0000077	428246
GO:0000077	101752182
GO:0000079	374047
GO:0000079	395124
GO:0000079	396167
GO:0000079	396172
GO:0000079	396341
GO:0000079	415400
GO:0000079	415577
GO:0000079	421791
GO:0000079	424204
GO:0000079	426117
GO:0000082	374047
GO:0000082	386582
GO:0000082	395246
GO:0000082	395376
GO:0000082	396282
GO:0000082	396341
GO:0000082	396361
GO:0000082	404271
GO:0000082	408252
GO:0000082	420017
GO:0000082	424216
GO:0000082	424356
GO:0000082	426117
GO:0000082	428445
GO:0000086	374049
GO:0000086	374071
GO:0000086	374246
GO:0000086	374260
GO:0000086	395499
GO:0000086	395555
GO:0000086	395855
GO:0000086	396167
GO:0000086	396172
GO:0000086	396252
GO:0000086	396341
GO:0000086	415544
GO:0000086	415577
GO:0000086	420487
GO:0000086	421291
GO:0000086	421373
GO:0000086	425073
GO:0000086	768853
GO:0000086	101752182
GO:0000096	395996
GO:0000096	421918
GO:0000096	428860
GO:0000097	421918
GO:0000097	428860
GO:0000098	395996
GO:0000104	395758
GO:0000104	419793
GO:0000104	100859720
GO:0000109	395659
GO:0000109	424226
GO:0000110	395659
GO:0000112	424226
GO:0000118	373961
GO:0000118	374207
GO:0000118	395390
GO:0000118	395411
GO:0000118	395506
GO:0000118	395635
GO:0000118	417762
GO:0000118	418140
GO:0000118	423328
GO:0000118	424756
GO:0000118	426109
GO:0000120	421933
GO:0000121	416559
GO:0000122	373854
GO:0000122	373943
GO:0000122	373977
GO:0000122	374116
GO:0000122	374123
GO:0000122	374148
GO:0000122	378779
GO:0000122	386582
GO:0000122	395097
GO:0000122	395241
GO:0000122	395245
GO:0000122	395290
GO:0000122	395302
GO:0000122	395326
GO:0000122	395390
GO:0000122	395411
GO:0000122	395427
GO:0000122	395502
GO:0000122	395506
GO:0000122	395518
GO:0000122	395526
GO:0000122	395631
GO:0000122	395656
GO:0000122	395679
GO:0000122	395711
GO:0000122	395794
GO:0000122	395802
GO:0000122	395858
GO:0000122	395904
GO:0000122	395920
GO:0000122	395952
GO:0000122	396027
GO:0000122	396055
GO:0000122	396104
GO:0000122	396105
GO:0000122	396142
GO:0000122	396154
GO:0000122	396164
GO:0000122	396165
GO:0000122	396182
GO:0000122	396207
GO:0000122	396208
GO:0000122	396209
GO:0000122	396210
GO:0000122	396230
GO:0000122	396250
GO:0000122	396251
GO:0000122	396266
GO:0000122	396301
GO:0000122	396339
GO:0000122	396341
GO:0000122	396383
GO:0000122	396385
GO:0000122	396431
GO:0000122	396436
GO:0000122	396437
GO:0000122	396484
GO:0000122	396500
GO:0000122	416018
GO:0000122	416092
GO:0000122	418175
GO:0000122	419106
GO:0000122	419493
GO:0000122	419533
